interactor1	interactor2	interactor1_canon	interactor2_canon	query_term1	query_term2	organism	int_type
PA1438	PA2809	Q9I3Q9	Q9I034	Q9I3Q9_PSEAE	Q9I034_PSEAE	bacteria	interacts
PA1438	PA1637	Q9I3Q9	Q9I388	Q9I3Q9_PSEAE	Q9I388_PSEAE	bacteria	interacts
PA1438	PA5364	Q9I3Q9	Q9HTJ6	Q9I3Q9_PSEAE	Q9HTJ6_PSEAE	bacteria	interacts
PA1438	PA1799	Q9I3Q9	Q9I2U3	Q9I3Q9_PSEAE	Q9I2U3_PSEAE	bacteria	interacts
PA1438	PA2686	Q9I3Q9	Q04803	Q9I3Q9_PSEAE	PFER_PSEAE	bacteria	interacts
PA1438	PA5200	Q9I3Q9	Q9HTY9	Q9I3Q9_PSEAE	Q9HTY9_PSEAE	bacteria	interacts
PA1438	PA5360	Q9I3Q9	P23620	Q9I3Q9_PSEAE	PHOB_PSEAE	bacteria	interacts
PA1438	PA2479	Q9I3Q9	Q9I103	Q9I3Q9_PSEAE	Q9I103_PSEAE	bacteria	interacts
PA1438	PA3204	Q9I3Q9	Q9HZ36	Q9I3Q9_PSEAE	Q9HZ36_PSEAE	bacteria	interacts
PA1438	PA4885	Q9I3Q9	Q9HUS8	Q9I3Q9_PSEAE	Q9HUS8_PSEAE	bacteria	interacts
PA1438	PA4983	Q9I3Q9	Q9HUI2	Q9I3Q9_PSEAE	ARUR_PSEAE	bacteria	interacts
PA2527	PA2528	Q9I0V6	Q9I0V5	Q9I0V6_PSEAE	Q9I0V5_PSEAE	bacteria	interacts
PA1317	PA4430	Q9I427	Q9HVY5	CYOA_PSEAE	Q9HVY5_PSEAE	bacteria	interacts
PA1317	PA4429	Q9I427	Q9HVY6	CYOA_PSEAE	Q9HVY6_PSEAE	bacteria	interacts
PA1317	PA5568	Q9I427	Q9HT06	CYOA_PSEAE	YIDC_PSEAE	bacteria	interacts
PA1317	PA1319	Q9I427	Q9I425	CYOA_PSEAE	CYOC_PSEAE	bacteria	interacts
PA1317	PA1320	Q9I427	Q9I424	CYOA_PSEAE	CYOD_PSEAE	bacteria	interacts
PA1317	PA4431	Q9I427	Q9HVY4	CYOA_PSEAE	Q9HVY4_PSEAE	bacteria	interacts
PA1317	PA1555	Q9I427	Q9I3G2	CYOA_PSEAE	Q9I3G2_PSEAE	bacteria	interacts
PA1319	PA4429	Q9I425	Q9HVY6	CYOC_PSEAE	Q9HVY6_PSEAE	bacteria	interacts
PA1319	PA4431	Q9I425	Q9HVY4	CYOC_PSEAE	Q9HVY4_PSEAE	bacteria	interacts
PA1319	PA1320	Q9I425	Q9I424	CYOC_PSEAE	CYOD_PSEAE	bacteria	interacts
PA1319	PA4430	Q9I425	Q9HVY5	CYOC_PSEAE	Q9HVY5_PSEAE	bacteria	interacts
PA0472	PA1911	Q9I646	Q9I2J3	Q9I646_PSEAE	Q9I2J3_PSEAE	bacteria	interacts
PA0472	PA2050	Q9I646	Q9I265	Q9I646_PSEAE	Q9I265_PSEAE	bacteria	interacts
PA0472	PA2468	Q9I646	Q9I114	Q9I646_PSEAE	Q9I114_PSEAE	bacteria	interacts
PA0472	PA2388	Q9I646	Q9I192	Q9I646_PSEAE	Q9I192_PSEAE	bacteria	interacts
PA0472	PA2094	Q9I646	Q9I221	Q9I646_PSEAE	Q9I221_PSEAE	bacteria	interacts
PA0472	PA4895	Q9I646	Q9HUR8	Q9I646_PSEAE	Q9HUR8_PSEAE	bacteria	interacts
PA0472	PA1301	Q9I646	Q9I443	Q9I646_PSEAE	Q9I443_PSEAE	bacteria	interacts
PA0472	PA2686	Q9I646	Q04803	Q9I646_PSEAE	PFER_PSEAE	bacteria	interacts
PA0472	PA3409	Q9I646	Q9HYJ6	Q9I646_PSEAE	Q9HYJ6_PSEAE	bacteria	interacts
PA0472	PA3900	Q9I646	Q9HXB3	Q9I646_PSEAE	Q9HXB3_PSEAE	bacteria	interacts
PA0472	PA2051	Q9I646	Q9I264	Q9I646_PSEAE	Q9I264_PSEAE	bacteria	interacts
PA0472	PA2467	Q9I646	Q9I115	Q9I646_PSEAE	Q9I115_PSEAE	bacteria	interacts
PA0472	PA1912	Q9I646	Q9I2J2	Q9I646_PSEAE	Q9I2J2_PSEAE	bacteria	interacts
PA0472	PA3899	Q9I646	Q9HXB4	Q9I646_PSEAE	Q9HXB4_PSEAE	bacteria	interacts
PA2771	PA4959	Q9I072	Q9HUK6	Q9I072_PSEAE	Q9HUK6_PSEAE	bacteria	interacts
PA2771	PA5017	Q9I072	Q9HUF2	Q9I072_PSEAE	Q9HUF2_PSEAE	bacteria	interacts
PA2771	PA5442	Q9I072	Q9HTC4	Q9I072_PSEAE	Q9HTC4_PSEAE	bacteria	interacts
PA2771	PA4112	Q9I072	Q9HWR8	Q9I072_PSEAE		bacteria	interacts
PA2771	PA3825	Q9I072	Q9HXH7	Q9I072_PSEAE	Q9HXH7_PSEAE	bacteria	interacts
PA2771	PA4108	Q9I072	Q9HWS0	Q9I072_PSEAE	CDPD1_PSEAE	bacteria	interacts
PA2771	PA3946	Q9I072	Q9HX70	Q9I072_PSEAE	Q9HX70_PSEAE	bacteria	interacts
PA2771	PA2824	Q9I072	Q9I019	Q9I072_PSEAE	Q9I019_PSEAE	bacteria	interacts
PA2771	PA4982	Q9I072	Q9HUI3	Q9I072_PSEAE	ARUS_PSEAE	bacteria	interacts
PA2771	PA4856	Q9I072	Q9HUV7	Q9I072_PSEAE	Q9HUV7_PSEAE	bacteria	interacts
PA2771	PA2818	Q9I072	Q9I025	Q9I072_PSEAE	Q9I025_PSEAE	bacteria	interacts
PA2771	PA4781	Q9I072	Q9HV27	Q9I072_PSEAE	CDPD2_PSEAE	bacteria	interacts
PA0471	PA2686	Q9I647	Q04803	Q9I647_PSEAE	PFER_PSEAE	bacteria	interacts
PA0471	PA2468	Q9I647	Q9I114	Q9I647_PSEAE	Q9I114_PSEAE	bacteria	interacts
PA0471	PA2050	Q9I647	Q9I265	Q9I647_PSEAE	Q9I265_PSEAE	bacteria	interacts
PA0471	PA2467	Q9I647	Q9I115	Q9I647_PSEAE	Q9I115_PSEAE	bacteria	interacts
PA0471	PA1912	Q9I647	Q9I2J2	Q9I647_PSEAE	Q9I2J2_PSEAE	bacteria	interacts
PA0471	PA3899	Q9I647	Q9HXB4	Q9I647_PSEAE	Q9HXB4_PSEAE	bacteria	interacts
PA0471	PA0472	Q9I647	Q9I646	Q9I647_PSEAE	Q9I646_PSEAE	bacteria	interacts
PA0471	PA5531	Q9I647	Q51368	Q9I647_PSEAE	TONB_PSEAE	bacteria	interacts
PA1442	PA1456	Q9I3Q5	Q51455	Q9I3Q5_PSEAE	CHEY_PSEAE	bacteria	interacts
PA1442	PA1444	Q9I3Q5	Q51466	Q9I3Q5_PSEAE	FLIN_PSEAE	bacteria	interacts
PA1442	PA1461	Q9I3Q5	G3XD90	Q9I3Q5_PSEAE	G3XD90_PSEAE	bacteria	interacts
PA1442	PA1460	Q9I3Q5	G3XD73	Q9I3Q5_PSEAE	G3XD73_PSEAE	bacteria	interacts
PA1442	PA1463	Q9I3Q5	G3XCY3	Q9I3Q5_PSEAE	G3XCY3_PSEAE	bacteria	interacts
PA1442	PA3351	Q9I3Q5	Q79SU4	Q9I3Q5_PSEAE	Q9HYP5_PSEAE	bacteria	interacts
PA1442	PA1457	Q9I3Q5	Q51434	Q9I3Q5_PSEAE	CHEZ_PSEAE	bacteria	interacts
PA1442	PA1443	Q9I3Q5	Q51465	Q9I3Q5_PSEAE	FLIM_PSEAE	bacteria	interacts
PA1442	PA1455	Q9I3Q5	P29248	Q9I3Q5_PSEAE	FLIA_PSEAE	bacteria	interacts
PA1442	PA4954	Q9I3Q5	Q9HUL1	Q9I3Q5_PSEAE	Q9HUL1_PSEAE	bacteria	interacts
PA1442	PA4953	Q9I3Q5	Q9HUL2	Q9I3Q5_PSEAE	Q9HUL2_PSEAE	bacteria	interacts
PA1442	PA3349	Q9I3Q5	Q9HYP7	Q9I3Q5_PSEAE	Q9HYP7_PSEAE	bacteria	interacts
PA1442	PA1454	Q9I3Q5	G3XD64	Q9I3Q5_PSEAE	FLEN_PSEAE	bacteria	interacts
PA1442	PA1445	Q9I3Q5	Q51467	Q9I3Q5_PSEAE	FLIO_PSEAE	bacteria	interacts
PA1444	PA3351	Q51466	Q79SU4	FLIN_PSEAE	Q9HYP5_PSEAE	bacteria	interacts
PA1444	PA1460	Q51466	G3XD73	FLIN_PSEAE	G3XD73_PSEAE	bacteria	interacts
PA1444	PA1458	Q51466	G3XCT6	FLIN_PSEAE	G3XCT6_PSEAE	bacteria	interacts
PA1444	PA1461	Q51466	G3XD90	FLIN_PSEAE	G3XD90_PSEAE	bacteria	interacts
PA1444	PA4954	Q51466	Q9HUL1	FLIN_PSEAE	Q9HUL1_PSEAE	bacteria	interacts
PA1444	PA1456	Q51466	Q51455	FLIN_PSEAE	CHEY_PSEAE	bacteria	interacts
PA1444	PA1690	Q51466	Q9I337	FLIN_PSEAE	Q9I337_PSEAE	bacteria	interacts
PA1444	PA1455	Q51466	P29248	FLIN_PSEAE	FLIA_PSEAE	bacteria	interacts
PA1444	PA3704	Q51466	Q9HXT7	FLIN_PSEAE	Q9HXT7_PSEAE	bacteria	interacts
PA1444	PA1457	Q51466	Q51434	FLIN_PSEAE	CHEZ_PSEAE	bacteria	interacts
PA1444	PA3348	Q51466	O87131	FLIN_PSEAE	CHER1_PSEAE	bacteria	interacts
PA1444	PA1454	Q51466	G3XD64	FLIN_PSEAE	FLEN_PSEAE	bacteria	interacts
PA1444	PA1445	Q51466	Q51467	FLIN_PSEAE	FLIO_PSEAE	bacteria	interacts
PA1444	PA1459	Q51466	O87125	FLIN_PSEAE	CHEB1_PSEAE	bacteria	interacts
PA1444	PA4953	Q51466	Q9HUL2	FLIN_PSEAE	Q9HUL2_PSEAE	bacteria	interacts
PA1444	PA5233	Q51466	Q9HTV7	FLIN_PSEAE	Q9HTV7_PSEAE	bacteria	interacts
PA0112	PA4429	Q9I720	Q9HVY6	Q9I720_PSEAE	Q9HVY6_PSEAE	bacteria	interacts
PA2775		Q9I068		TSI4_PSEAE		bacteria	interacts
PA0355	PA3692	Q9I6D8	Q9HXU8	Q9I6D8_PSEAE	Q9HXU8_PSEAE	bacteria	interacts
PA0355	PA1324	Q9I6D8	Q9I420	Q9I6D8_PSEAE	Q9I420_PSEAE	bacteria	interacts
PA1443	PA3704	Q51465	Q9HXT7	FLIM_PSEAE	Q9HXT7_PSEAE	bacteria	interacts
PA1443	PA3346	Q51465	Q9HYP9	FLIM_PSEAE	Q9HYP9_PSEAE	bacteria	interacts
PA1443	PA1455	Q51465	P29248	FLIM_PSEAE	FLIA_PSEAE	bacteria	interacts
PA1443	PA3946	Q51465	Q9HX70	FLIM_PSEAE	Q9HX70_PSEAE	bacteria	interacts
PA1443	PA1463	Q51465	G3XCY3	FLIM_PSEAE	G3XCY3_PSEAE	bacteria	interacts
PA1443	PA3351	Q51465	Q79SU4	FLIM_PSEAE	Q9HYP5_PSEAE	bacteria	interacts
PA1443	PA4953	Q51465	Q9HUL2	FLIM_PSEAE	Q9HUL2_PSEAE	bacteria	interacts
PA1443	PA1444	Q51465	Q51466	FLIM_PSEAE	FLIN_PSEAE	bacteria	interacts
PA1443	PA1460	Q51465	G3XD73	FLIM_PSEAE	G3XD73_PSEAE	bacteria	interacts
PA1443	PA3353	Q51465	Q9HYP3	FLIM_PSEAE	Q9HYP3_PSEAE	bacteria	interacts
PA1443	PA1694	Q51465	Q9I333	FLIM_PSEAE	Q9I333_PSEAE	bacteria	interacts
PA1443	PA1445	Q51465	Q51467	FLIM_PSEAE	FLIO_PSEAE	bacteria	interacts
PA1443	PA1454	Q51465	G3XD64	FLIM_PSEAE	FLEN_PSEAE	bacteria	interacts
PA1443	PA1464	Q51465	G3XD72	FLIM_PSEAE	G3XD72_PSEAE	bacteria	interacts
PA1443	PA1458	Q51465	G3XCT6	FLIM_PSEAE	G3XCT6_PSEAE	bacteria	interacts
PA1443	PA1456	Q51465	Q51455	FLIM_PSEAE	CHEY_PSEAE	bacteria	interacts
PA1443	PA3348	Q51465	O87131	FLIM_PSEAE	CHER1_PSEAE	bacteria	interacts
PA1443	PA4112	Q51465	Q9HWR8	FLIM_PSEAE		bacteria	interacts
PA1443	PA1457	Q51465	Q51434	FLIM_PSEAE	CHEZ_PSEAE	bacteria	interacts
PA1443	PA1459	Q51465	O87125	FLIM_PSEAE	CHEB1_PSEAE	bacteria	interacts
PA1443	PA3349	Q51465	Q9HYP7	FLIM_PSEAE	Q9HYP7_PSEAE	bacteria	interacts
PA1443	PA5233	Q51465	Q9HTV7	FLIM_PSEAE	Q9HTV7_PSEAE	bacteria	interacts
PA1443	PA1461	Q51465	G3XD90	FLIM_PSEAE	G3XD90_PSEAE	bacteria	interacts
PA1443	PA4954	Q51465	Q9HUL1	FLIM_PSEAE	Q9HUL1_PSEAE	bacteria	interacts
PA4834	PA4836	Q9HUX6	Q9HUX4	CNTI_PSEAE	NASLL_PSEAE	bacteria	interacts
PA4834	PA4837	Q9HUX6	Q9HUX3	CNTI_PSEAE	CNTO_PSEAE	bacteria	interacts
PA4834	PA4835	Q9HUX6	Q9HUX5	CNTI_PSEAE	ODH_PSEAE	bacteria	interacts
PA3745	PA5570	Q9HXP9	P29436	RS16_PSEAE	RL34_PSEAE	bacteria	interacts
PA3745	PA4935	Q9HXP9	Q9HUM9	RS16_PSEAE	RS6_PSEAE	bacteria	interacts
PA3745	PA4567	Q9HXP9	Q9HVL7	RS16_PSEAE	RL27_PSEAE	bacteria	interacts
PA3745	PA4563	Q9HXP9	Q9HVM1	RS16_PSEAE	RS20_PSEAE	bacteria	interacts
PA3745	PA4932	Q9HXP9	Q9HUN2	RS16_PSEAE	RL9_PSEAE	bacteria	interacts
PA3745	PA4237	Q9HXP9	O52761	RS16_PSEAE	RL17_PSEAE	bacteria	interacts
PA3745	PA4272	Q9HXP9	Q9HWC7	RS16_PSEAE		bacteria	interacts
PA3745	PA4247	Q9HXP9	Q9HWF1	RS16_PSEAE	RL18_PSEAE	bacteria	interacts
PA3745	PA5568	Q9HXP9	Q9HT06	RS16_PSEAE	YIDC_PSEAE	bacteria	interacts
PA3745	PA4264	Q9HXP9	Q9HWD4	RS16_PSEAE	RS10_PSEAE	bacteria	interacts
PA3745	PA4671	Q9HXP9	Q9HVC4	RS16_PSEAE	RL25_PSEAE	bacteria	interacts
PA3745	PA4260	Q9HXP9	Q9HWD8	RS16_PSEAE	RL2_PSEAE	bacteria	interacts
PA3745	PA4256	Q9HXP9	Q9HWE2	RS16_PSEAE	RL16_PSEAE	bacteria	interacts
PA3745	PA5558	Q9HXP9	Q9HT16	RS16_PSEAE	ATPF_PSEAE	bacteria	interacts
PA3745	PA3807	Q9HXP9	Q59636	RS16_PSEAE	NDK_PSEAE	bacteria	interacts
PA3745	PA4239	Q9HXP9	O52759	RS16_PSEAE	RS4_PSEAE	bacteria	interacts
PA3745	PA4254	Q9HXP9	Q9HWE4	RS16_PSEAE	RS17_PSEAE	bacteria	interacts
PA3745	PA5049	Q9HXP9	Q9HUD0	RS16_PSEAE	RL31_PSEAE	bacteria	interacts
PA3745	PA3822	Q9HXP9	Q9HXI0	RS16_PSEAE	Q9HXI0_PSEAE	bacteria	interacts
PA3745	PA4741	Q9HXP9	Q9HV58	RS16_PSEAE	RS15_PSEAE	bacteria	interacts
PA3745	PA4241	Q9HXP9	Q9HWF7	RS16_PSEAE	RS13_PSEAE	bacteria	interacts
PA3745	PA4255	Q9HXP9	Q9HWE3	RS16_PSEAE	RL29_PSEAE	bacteria	interacts
PA3745	PA4238	Q9HXP9	O52760	RS16_PSEAE		bacteria	interacts
PA3745	PA4252	Q9HXP9	Q9HWE6	RS16_PSEAE	RL24_PSEAE	bacteria	interacts
PA3745	PA4268	Q9HXP9	Q9HWD0	RS16_PSEAE	RS12_PSEAE	bacteria	interacts
PA3745	PA4243	Q9HXP9	Q9HWF5	RS16_PSEAE	SECY_PSEAE	bacteria	interacts
PA3745	PA4273	Q9HXP9	Q9HWC6	RS16_PSEAE		bacteria	interacts
PA3745	PA4271	Q9HXP9	Q9HWC8	RS16_PSEAE		bacteria	interacts
PA3745	PA4253	Q9HXP9	Q9HWE5	RS16_PSEAE	RL14_PSEAE	bacteria	interacts
PA3745	PA4258	Q9HXP9	Q9HWE0	RS16_PSEAE	RL22_PSEAE	bacteria	interacts
PA3745	PA4274	Q9HXP9	Q9HWC5	RS16_PSEAE		bacteria	interacts
PA3745	PA4261	Q9HXP9	Q9HWD7	RS16_PSEAE	RL23_PSEAE	bacteria	interacts
PA3745	PA4262	Q9HXP9	Q9HWD6	RS16_PSEAE	RL4_PSEAE	bacteria	interacts
PA3745	PA5559	Q9HXP9	Q9HT15	RS16_PSEAE	ATPL_PSEAE	bacteria	interacts
PA3745	PA4259	Q9HXP9	Q9HWD9	RS16_PSEAE	RS19_PSEAE	bacteria	interacts
PA3745	PA4240	Q9HXP9	Q9HWF8	RS16_PSEAE	RS11_PSEAE	bacteria	interacts
PA3745	PA4246	Q9HXP9	Q9HWF2	RS16_PSEAE	RS5_PSEAE	bacteria	interacts
PA3745	PA5316	Q9HXP9	Q9HTN8	RS16_PSEAE	RL28_PSEAE	bacteria	interacts
PA3745	PA4266	Q9HXP9	Q9HWD2	RS16_PSEAE		bacteria	interacts
PA3745	PA4248	Q9HXP9	Q9HWF0	RS16_PSEAE	RL6_PSEAE	bacteria	interacts
PA3745	PA4270	Q9HXP9	Q51561	RS16_PSEAE		bacteria	interacts
PA3745	PA4250	Q9HXP9	Q9HWE8	RS16_PSEAE	RS14_PSEAE	bacteria	interacts
PA3745	PA4263	Q9HXP9	Q9HWD5	RS16_PSEAE	RL3_PSEAE	bacteria	interacts
PA3745	PA4267	Q9HXP9	Q9HWD1	RS16_PSEAE	RS7_PSEAE	bacteria	interacts
PA3745	PA4433	Q9HXP9	Q9HVY2	RS16_PSEAE	RL13_PSEAE	bacteria	interacts
PA3745	PA4245	Q9HXP9	Q9HWF3	RS16_PSEAE	RL30_PSEAE	bacteria	interacts
PA3745	PA4432	Q9HXP9	Q9HVY3	RS16_PSEAE	RS9_PSEAE	bacteria	interacts
PA3745	PA4244	Q9HXP9	Q9HWF4	RS16_PSEAE	RL15_PSEAE	bacteria	interacts
PA3745	PA3746	Q9HXP9	Q9HXP8	RS16_PSEAE	Q9HXP8_PSEAE	bacteria	interacts
PA3745	PA4249	Q9HXP9	Q9HWE9	RS16_PSEAE	RS8_PSEAE	bacteria	interacts
PA3745	PA4934	Q9HXP9	Q9HUN0	RS16_PSEAE	RS18_PSEAE	bacteria	interacts
PA3745	PA4251	Q9HXP9	Q9HWE7	RS16_PSEAE	RL5_PSEAE	bacteria	interacts
PA3745	PA4257	Q9HXP9	Q9HWE1	RS16_PSEAE	RS3_PSEAE	bacteria	interacts
PA3745	PA4568	Q9HXP9	Q9HVL6	RS16_PSEAE	RL21_PSEAE	bacteria	interacts
PA3745	PA4276	Q9HXP9	Q9HWC3	RS16_PSEAE	SECE_PSEAE	bacteria	interacts
PA3863		Q9HXE3		DAUA_PSEAE		bacteria	interacts
PA3742	PA4262	Q9HXQ2	Q9HWD6	RL19_PSEAE	RL4_PSEAE	bacteria	interacts
PA3742	PA5316	Q9HXQ2	Q9HTN8	RL19_PSEAE	RL28_PSEAE	bacteria	interacts
PA3742	PA4246	Q9HXQ2	Q9HWF2	RL19_PSEAE	RS5_PSEAE	bacteria	interacts
PA3742	PA4259	Q9HXQ2	Q9HWD9	RL19_PSEAE	RS19_PSEAE	bacteria	interacts
PA3742	PA4276	Q9HXQ2	Q9HWC3	RL19_PSEAE	SECE_PSEAE	bacteria	interacts
PA3742	PA4268	Q9HXQ2	Q9HWD0	RL19_PSEAE	RS12_PSEAE	bacteria	interacts
PA3742	PA4568	Q9HXQ2	Q9HVL6	RL19_PSEAE	RL21_PSEAE	bacteria	interacts
PA3742	PA4251	Q9HXQ2	Q9HWE7	RL19_PSEAE	RL5_PSEAE	bacteria	interacts
PA3742	PA4273	Q9HXQ2	Q9HWC6	RL19_PSEAE		bacteria	interacts
PA3742	PA4432	Q9HXQ2	Q9HVY3	RL19_PSEAE	RS9_PSEAE	bacteria	interacts
PA3742	PA4934	Q9HXQ2	Q9HUN0	RL19_PSEAE	RS18_PSEAE	bacteria	interacts
PA3742	PA4266	Q9HXQ2	Q9HWD2	RL19_PSEAE		bacteria	interacts
PA3742	PA4249	Q9HXQ2	Q9HWE9	RL19_PSEAE	RS8_PSEAE	bacteria	interacts
PA3742	PA3746	Q9HXQ2	Q9HXP8	RL19_PSEAE	Q9HXP8_PSEAE	bacteria	interacts
PA3742	PA4258	Q9HXQ2	Q9HWE0	RL19_PSEAE	RL22_PSEAE	bacteria	interacts
PA3742	PA4274	Q9HXQ2	Q9HWC5	RL19_PSEAE		bacteria	interacts
PA3742	PA4256	Q9HXQ2	Q9HWE2	RL19_PSEAE	RL16_PSEAE	bacteria	interacts
PA3742	PA4270	Q9HXQ2	Q51561	RL19_PSEAE		bacteria	interacts
PA3742	PA4243	Q9HXQ2	Q9HWF5	RL19_PSEAE	SECY_PSEAE	bacteria	interacts
PA3742	PA4248	Q9HXQ2	Q9HWF0	RL19_PSEAE	RL6_PSEAE	bacteria	interacts
PA3742	PA4244	Q9HXQ2	Q9HWF4	RL19_PSEAE	RL15_PSEAE	bacteria	interacts
PA3742	PA4250	Q9HXQ2	Q9HWE8	RL19_PSEAE	RS14_PSEAE	bacteria	interacts
PA3742	PA3745	Q9HXQ2	Q9HXP9	RL19_PSEAE	RS16_PSEAE	bacteria	interacts
PA3742	PA4260	Q9HXQ2	Q9HWD8	RL19_PSEAE	RL2_PSEAE	bacteria	interacts
PA3742	PA4403	Q9HXQ2	Q9LCT3	RL19_PSEAE	SECA_PSEAE	bacteria	interacts
PA3742	PA4253	Q9HXQ2	Q9HWE5	RL19_PSEAE	RL14_PSEAE	bacteria	interacts
PA3742	PA4263	Q9HXQ2	Q9HWD5	RL19_PSEAE	RL3_PSEAE	bacteria	interacts
PA3742	PA4241	Q9HXQ2	Q9HWF7	RL19_PSEAE	RS13_PSEAE	bacteria	interacts
PA3742	PA4433	Q9HXQ2	Q9HVY2	RL19_PSEAE	RL13_PSEAE	bacteria	interacts
PA3742	PA4741	Q9HXQ2	Q9HV58	RL19_PSEAE	RS15_PSEAE	bacteria	interacts
PA3742	PA5049	Q9HXQ2	Q9HUD0	RL19_PSEAE	RL31_PSEAE	bacteria	interacts
PA3742	PA4257	Q9HXQ2	Q9HWE1	RL19_PSEAE	RS3_PSEAE	bacteria	interacts
PA3742	PA4271	Q9HXQ2	Q9HWC8	RL19_PSEAE		bacteria	interacts
PA3742	PA4238	Q9HXQ2	O52760	RL19_PSEAE		bacteria	interacts
PA3742	PA4255	Q9HXQ2	Q9HWE3	RL19_PSEAE	RL29_PSEAE	bacteria	interacts
PA3742	PA4261	Q9HXQ2	Q9HWD7	RL19_PSEAE	RL23_PSEAE	bacteria	interacts
PA3742	PA4245	Q9HXQ2	Q9HWF3	RL19_PSEAE	RL30_PSEAE	bacteria	interacts
PA3742	PA4267	Q9HXQ2	Q9HWD1	RL19_PSEAE	RS7_PSEAE	bacteria	interacts
PA3742	PA4240	Q9HXQ2	Q9HWF8	RL19_PSEAE	RS11_PSEAE	bacteria	interacts
PA3742	PA4747	Q9HXQ2	Q9HV52	RL19_PSEAE	SECG_PSEAE	bacteria	interacts
PA3742	PA4563	Q9HXQ2	Q9HVM1	RL19_PSEAE	RS20_PSEAE	bacteria	interacts
PA3742	PA4254	Q9HXQ2	Q9HWE4	RL19_PSEAE	RS17_PSEAE	bacteria	interacts
PA3742	PA4237	Q9HXQ2	O52761	RL19_PSEAE	RL17_PSEAE	bacteria	interacts
PA3742	PA4264	Q9HXQ2	Q9HWD4	RL19_PSEAE	RS10_PSEAE	bacteria	interacts
PA3742	PA4671	Q9HXQ2	Q9HVC4	RL19_PSEAE	RL25_PSEAE	bacteria	interacts
PA3742	PA5570	Q9HXQ2	P29436	RL19_PSEAE	RL34_PSEAE	bacteria	interacts
PA3742	PA4252	Q9HXQ2	Q9HWE6	RL19_PSEAE	RL24_PSEAE	bacteria	interacts
PA3742	PA4932	Q9HXQ2	Q9HUN2	RL19_PSEAE	RL9_PSEAE	bacteria	interacts
PA3742	PA4247	Q9HXQ2	Q9HWF1	RL19_PSEAE	RL18_PSEAE	bacteria	interacts
PA3742	PA4544	Q9HXQ2	P33640	RL19_PSEAE	RLUD_PSEAE	bacteria	interacts
PA3742	PA4239	Q9HXQ2	O52759	RL19_PSEAE	RS4_PSEAE	bacteria	interacts
PA3742	PA4567	Q9HXQ2	Q9HVL7	RL19_PSEAE	RL27_PSEAE	bacteria	interacts
PA3742	PA4935	Q9HXQ2	Q9HUM9	RL19_PSEAE	RS6_PSEAE	bacteria	interacts
PA3742	PA5558	Q9HXQ2	Q9HT16	RL19_PSEAE	ATPF_PSEAE	bacteria	interacts
PA3742	PA4272	Q9HXQ2	Q9HWC7	RL19_PSEAE		bacteria	interacts
PA3742	PA3807	Q9HXQ2	Q59636	RL19_PSEAE	NDK_PSEAE	bacteria	interacts
PA3621		Q9HY07		FER1_PSEAE		bacteria	interacts
PA3622	PA4462	P45684	P49988	RPOS_PSEAE	RP54_PSEAE	bacteria	interacts
PA3622	PA4878	P45684	Q9HUT5	RPOS_PSEAE	Q9HUT5_PSEAE	bacteria	interacts
PA3622	PA5255	P45684	P15275	RPOS_PSEAE	ALGQ_PSEAE	bacteria	interacts
PA3622	PA5344	P45684	Q9HTL4	RPOS_PSEAE	Q9HTL4_PSEAE	bacteria	interacts
PA3622	PA4238	P45684	O52760	RPOS_PSEAE		bacteria	interacts
PA3622	PA4239	P45684	O52759	RPOS_PSEAE	RS4_PSEAE	bacteria	interacts
PA3622	PA4270	P45684	Q51561	RPOS_PSEAE		bacteria	interacts
PA3622	PA4385	P45684	P30718	RPOS_PSEAE	CH60_PSEAE	bacteria	interacts
PA3622	PA3724	P45684	P14756	RPOS_PSEAE	ELAS_PSEAE	bacteria	interacts
PA3622	PA4761	P45684	Q9HV43	RPOS_PSEAE	DNAK_PSEAE	bacteria	interacts
PA3622	PA4944	P45684	Q9HUM0	RPOS_PSEAE	HFQ_PSEAE	bacteria	interacts
PA4953	PA5233	Q9HUL2	Q9HTV7	Q9HUL2_PSEAE	Q9HTV7_PSEAE	bacteria	interacts
PA4953	PA4954	Q9HUL2	Q9HUL1	Q9HUL2_PSEAE	Q9HUL1_PSEAE	bacteria	interacts
PA1445	PA3349	Q51467	Q9HYP7	FLIO_PSEAE	Q9HYP7_PSEAE	bacteria	interacts
PA1445	PA1455	Q51467	P29248	FLIO_PSEAE	FLIA_PSEAE	bacteria	interacts
PA1445	PA3704	Q51467	Q9HXT7	FLIO_PSEAE	Q9HXT7_PSEAE	bacteria	interacts
PA1445	PA5233	Q51467	Q9HTV7	FLIO_PSEAE	Q9HTV7_PSEAE	bacteria	interacts
PA1445	PA4953	Q51467	Q9HUL2	FLIO_PSEAE	Q9HUL2_PSEAE	bacteria	interacts
PA1445	PA1454	Q51467	G3XD64	FLIO_PSEAE	FLEN_PSEAE	bacteria	interacts
PA1445	PA1463	Q51467	G3XCY3	FLIO_PSEAE	G3XCY3_PSEAE	bacteria	interacts
PA1445	PA1457	Q51467	Q51434	FLIO_PSEAE	CHEZ_PSEAE	bacteria	interacts
PA1445	PA1456	Q51467	Q51455	FLIO_PSEAE	CHEY_PSEAE	bacteria	interacts
PA1445	PA1694	Q51467	Q9I333	FLIO_PSEAE	Q9I333_PSEAE	bacteria	interacts
